timestamp,temperature,battery_voltage,power_consumption,radiation_level,signal_strength,fuel_level,solar_output,anomaly_score,anomaly_flag,label,risk_score,risk_level,top_factors
2026-01-01 00:00:00,15.37,28.78,117.06,0.7288,-65.9,100.0,88.32,-0.000408,-1,Anomaly,0,LOW,None
2026-01-01 00:05:00,13.97,28.73,115.76,0.7087,-65.29,99.96,87.8,-0.007677,-1,Anomaly,1,LOW,None
2026-01-01 00:10:00,16.34,28.76,119.03,0.7622,-65.94,100.0,86.57,-0.002752,-1,Anomaly,0,LOW,None
2026-01-01 00:15:00,16.78,28.84,117.8,0.624,-64.0,100.0,88.39,-0.014961,-1,Anomaly,1,LOW,None
2026-01-01 00:20:00,13.53,28.8,111.39,0.6776,-64.84,98.99,87.57,0.0024,1,Normal,0,LOW,None
2026-01-01 00:25:00,14.53,28.83,119.61,0.6719,-66.61,100.0,83.48,0.009224,1,Normal,0,LOW,None
2026-01-01 00:30:00,16.46,28.85,114.71,0.6137,-66.66,99.53,82.93,0.028787,1,Normal,0,LOW,None
2026-01-01 00:35:00,16.14,28.77,110.48,0.7373,-65.9,99.38,86.66,0.014383,1,Normal,0,LOW,None
2026-01-01 00:40:00,16.72,28.87,117.86,0.6862,-67.25,99.72,83.75,0.01981,1,Normal,0,LOW,None
2026-01-01 00:45:00,15.93,28.84,115.19,0.7287,-65.29,99.87,85.56,-0.004447,-1,Anomaly,0,LOW,None
2026-01-01 00:50:00,18.22,28.71,107.87,0.7956,-66.13,99.23,86.1,0.016159,1,Normal,0,LOW,None
2026-01-01 00:55:00,18.31,28.93,117.8,0.6891,-66.28,99.9,81.58,0.005386,1,Normal,0,LOW,None
2026-01-01 01:00:00,17.67,28.78,113.16,0.6884,-65.9,99.89,80.88,0.020337,1,Normal,0,LOW,None
2026-01-01 01:05:00,19.15,28.69,110.07,0.7119,-64.91,99.65,86.64,0.006643,1,Normal,0,LOW,None
2026-01-01 01:10:00,18.57,28.74,114.92,0.7486,-66.51,99.35,83.59,0.028089,1,Normal,0,LOW,None
2026-01-01 01:15:00,17.18,28.74,109.15,0.6883,-66.84,99.29,81.64,0.039025,1,Normal,0,LOW,None
2026-01-01 01:20:00,18.86,28.83,107.72,0.6876,-65.27,99.86,80.21,0.012222,1,Normal,0,LOW,None
2026-01-01 01:25:00,17.47,28.8,104.72,0.7569,-65.87,99.07,80.65,0.024136,1,Normal,0,LOW,None
2026-01-01 01:30:00,19.88,28.8,108.28,0.7316,-67.21,99.81,78.9,0.033734,1,Normal,0,LOW,None
2026-01-01 01:35:00,18.97,28.88,107.12,0.6363,-66.94,99.42,82.66,0.038093,1,Normal,0,LOW,None
2026-01-01 01:40:00,19.0,28.86,104.7,0.6708,-66.81,99.41,78.95,0.034438,1,Normal,0,LOW,None
2026-01-01 01:45:00,18.61,28.86,101.08,0.7815,-66.71,98.9,82.31,0.031482,1,Normal,0,LOW,None
2026-01-01 01:50:00,21.08,28.87,103.49,0.7391,-68.49,99.34,78.94,0.045985,1,Normal,0,LOW,None
2026-01-01 01:55:00,19.62,28.88,101.98,0.6941,-68.74,99.54,77.29,0.042809,1,Normal,0,LOW,None
2026-01-01 02:00:00,19.49,28.67,96.74,0.7193,-68.15,98.93,78.15,0.054001,1,Normal,0,LOW,None
2026-01-01 02:05:00,19.77,28.81,95.44,0.7281,-68.29,99.45,73.4,0.046907,1,Normal,0,LOW,None
2026-01-01 02:10:00,21.01,28.67,101.75,0.7584,-68.04,99.3,78.05,0.046698,1,Normal,0,LOW,None
2026-01-01 02:15:00,20.99,28.84,89.84,0.676,-66.83,99.05,77.6,0.039938,1,Normal,0,LOW,None
2026-01-01 02:20:00,21.23,28.84,98.85,0.6981,-67.71,99.47,79.24,0.041015,1,Normal,0,LOW,None
2026-01-01 02:25:00,21.43,28.93,95.65,0.7439,-67.41,98.53,73.48,0.039407,1,Normal,0,LOW,None
2026-01-01 02:30:00,23.66,28.94,101.09,0.7303,-68.91,99.26,79.24,0.0349,1,Normal,0,LOW,None
2026-01-01 02:35:00,20.77,28.86,93.97,0.7583,-68.22,99.62,78.23,0.036581,1,Normal,0,LOW,None
2026-01-01 02:40:00,20.81,28.81,97.2,0.6874,-67.25,99.54,78.78,0.039253,1,Normal,0,LOW,None
2026-01-01 02:45:00,20.62,28.89,92.71,0.752,-67.32,99.19,75.85,0.036069,1,Normal,0,LOW,None
2026-01-01 02:50:00,22.5,28.8,93.7,0.7824,-68.72,98.96,77.68,0.047541,1,Normal,0,LOW,None
2026-01-01 02:55:00,23.27,28.85,95.1,0.7593,-67.91,98.83,72.41,0.046537,1,Normal,0,LOW,None
2026-01-01 03:00:00,21.93,28.93,90.13,0.7463,-65.96,98.9,76.48,0.022726,1,Normal,0,LOW,None
2026-01-01 03:05:00,21.22,28.8,94.47,0.7378,-68.26,99.13,73.23,0.055957,1,Normal,0,LOW,None
2026-01-01 03:10:00,21.38,28.91,86.74,0.7092,-69.02,98.69,71.19,0.044462,1,Normal,0,LOW,None
2026-01-01 03:15:00,23.3,28.9,90.5,0.7405,-68.58,99.13,71.97,0.05009,1,Normal,0,LOW,None
2026-01-01 03:20:00,23.55,28.77,91.96,0.7945,-68.4,99.52,73.97,0.031017,1,Normal,0,LOW,None
2026-01-01 03:25:00,23.45,28.93,90.32,0.7401,-68.74,98.83,72.05,0.045516,1,Normal,0,LOW,None
2026-01-01 03:30:00,22.13,28.91,94.01,0.71,-68.71,98.42,74.2,0.052918,1,Normal,0,LOW,None
2026-01-01 03:35:00,23.34,28.86,83.93,0.7265,-70.21,98.39,69.59,0.046831,1,Normal,0,LOW,None
2026-01-01 03:40:00,23.33,28.79,81.09,0.7548,-69.82,99.0,68.72,0.039741,1,Normal,0,LOW,None
